MRI ID,Tag,Age,FOC per gr @ collection,Sex,Faeces weight (gr),Expected Oocysts,Extraction date flotation,Oocysts counted,Count method,Nanodrop (ng/ul) flotation,A260/A280 flotation,A260/A230 flotation,A260 flotation,A280 flotation,Extraction date faeces,Nanodrop (ng/ul) faeces,A260/A280 faeces,A260/A230 faeces,A260 faeces,A280 faeces
35,BL545,9,756,female,NA,NA,19/01/2020,200,10ul aliquot,7.967,1.585,0.199,0.159,0.101,16/10/2019,100.572,1.826,1.821,2.011,1.102
96,BO585,12,987,female,25,24675,29/01/2020,1700,10ul aliquot,10.142,1.765,0.363,0.203,0.115,16/10/2019,96.828,1.824,1.756,1.937,1.062
32,CL016,3,777,female,12,9324,17/01/2020,400,10ul aliquot,7.507,1.757,0.291,0.15,0.085,16/10/2019,43.063,1.852,1.727,0.861,0.465
222,CO578,6,2079,female,19,39501,31/01/2020,15400,10ul aliquot,8.093,1.791,0.457,0.162,0.09,16/10/2019,71.197,1.804,1.834,1.424,0.789
179,CO579,6,609,male,3.1,1887.9,31/01/2020,900,10ul aliquot,1.64,2.408,0.331,0.033,0.014,16/10/2019,56.357,1.823,1.645,1.127,0.618
213,CO595,6,945,male,25.2,23814,31/01/2020,2800,10ul aliquot,9.23,1.656,0.402,0.185,0.111,16/10/2019,55.107,1.787,1.453,1.102,0.617
85,CR076,5,924,female,23.8,21991.2,29/01/2020,4300,10ul aliquot,4.535,3.037,0.243,0.091,0.03,16/10/2019,41.699,1.794,1.745,0.834,0.465
167,CR526,5,672,female,5.2,3494.4,31/01/2020,4000,10ul aliquot,2.855,1.76,0.374,0.057,0.032,16/10/2019,75.534,1.797,1.662,1.511,0.841
156,CW078,4,630,male,20.4,12852,31/01/2020,200,10ul aliquot,7.705,1.655,0.34,0.154,0.093,16/10/2019,51.364,1.858,1.786,1.027,0.553
79,CW624,4,770,female,4.9,3773,29/01/2020,3300,10ul aliquot,2.735,6.288,0.214,0.055,0.009,16/10/2019,44.374,1.826,1.495,0.887,0.486
219,DO104,Lamb,5418,male,8.2,44427.6,31/01/2020,8800,10ul aliquot,3.521,2.757,0.287,0.07,0.026,16/10/2019,73.869,1.787,1.453,1.102,0.617
173,DO127,Lamb,2415,male,8.2,19803,31/01/2020,5100,10ul aliquot,4.341,2.452,0.294,0.087,0.035,16/10/2019,61.082,1.847,1.686,1.222,0.661
68,DO172,Lamb,18438,male,4.1,75595.8,29/01/2020,11200,10ul aliquot,1.787,-16.336,0.22,0.036,-0.002,16/10/2019,92.253,1.796,1.77,1.845,1.027
83,DO174,Lamb,22008,male,3.3,72626.4,29/01/2020,26100,10ul aliquot,2.467,3.442,0.241,0.049,0.014,16/10/2019,112.231,1.824,1.841,2.245,1.231
84,DO179,Lamb,3759,female,27,101493,NA,NA,NA,NA,NA,NA,NA,NA,16/10/2019,82.847,1.81,1.498,1.657,0.916
56,DO181,Lamb,7665,female,19.05,146018.25,29/01/2020,8600,10ul aliquot,11.302,1.718,0.381,0.226,0.132,NA,NA,NA,NA,NA,NA
60,DO182,Lamb,26124,male,3.5,91434,29/01/2020,15300,10ul aliquot,3.791,2.193,0.248,0.076,0.035,16/10/2019,38.749,1.779,1.508,0.775,0.436
20,DO197,Lamb,9618,male,4.7,45204.6,17/01/2020,12200,10ul aliquot,3.351,1.343,0.245,0.067,0.05,16/10/2019,74.166,1.852,1.84,1.483,0.801
